,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.94,0.01,0.02
0.50,0.01,0.0,0.96,0.04,0.08
0.55,0.07,0.01,0.9,0.27,0.42
0.60,0.13,0.04,0.91,0.49,0.63
0.65,0.18,0.09,0.91,0.65,0.76
0.70,0.26,0.24,0.92,0.8,0.85
0.75,0.36,0.27,0.91,0.9,0.91
0.80,0.27,0.26,0.9,0.96,0.93
0.85,0.1,0.14,0.89,0.99,0.94
0.90,0.02,0.08,0.88,0.99,0.93
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.94,0.01,0.02
0.50,0.01,0.0,0.96,0.04,0.08
0.55,0.07,0.01,0.9,0.27,0.42
0.60,0.13,0.04,0.91,0.49,0.63
0.65,0.18,0.09,0.91,0.65,0.76
0.70,0.26,0.24,0.92,0.8,0.85
0.75,0.36,0.27,0.91,0.9,0.91
0.80,0.27,0.26,0.9,0.96,0.93
0.85,0.1,0.14,0.89,0.99,0.94
0.90,0.02,0.08,0.88,0.99,0.93
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.94,0.01,0.02
0.50,0.01,0.0,0.96,0.04,0.08
0.55,0.07,0.01,0.9,0.27,0.42
0.60,0.13,0.04,0.91,0.49,0.63
0.65,0.18,0.09,0.91,0.65,0.76
0.70,0.26,0.24,0.92,0.8,0.85
0.75,0.36,0.27,0.91,0.9,0.91
0.80,0.27,0.26,0.9,0.96,0.93
0.85,0.1,0.14,0.89,0.99,0.94
0.90,0.02,0.08,0.88,0.99,0.93
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 145.09 seconds
