,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.01,0.0,1.0,0.06,0.11
0.50,0.21,0.1,0.97,0.57,0.72
0.55,0.3,0.23,0.97,0.72,0.83
0.60,0.38,0.37,0.97,0.81,0.88
0.65,0.51,0.47,0.96,0.89,0.93
0.70,0.67,0.57,0.96,0.95,0.95
0.75,0.64,0.58,0.95,0.99,0.97
0.80,0.59,0.58,0.95,1.0,0.97
0.85,0.53,0.51,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.01,0.0,1.0,0.06,0.11
0.50,0.21,0.1,0.97,0.57,0.72
0.55,0.3,0.23,0.97,0.72,0.83
0.60,0.38,0.37,0.97,0.81,0.88
0.65,0.51,0.47,0.96,0.89,0.93
0.70,0.67,0.57,0.96,0.95,0.95
0.75,0.64,0.58,0.95,0.99,0.97
0.80,0.59,0.58,0.95,1.0,0.97
0.85,0.53,0.51,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.01,0.0,1.0,0.06,0.11
0.50,0.21,0.1,0.97,0.57,0.72
0.55,0.3,0.23,0.97,0.72,0.83
0.60,0.38,0.37,0.97,0.81,0.88
0.65,0.51,0.47,0.96,0.89,0.93
0.70,0.67,0.57,0.96,0.95,0.95
0.75,0.64,0.58,0.95,0.99,0.97
0.80,0.59,0.58,0.95,1.0,0.97
0.85,0.53,0.51,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 915.74 seconds
