,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.83,0.01,0.01
0.50,0.0,0.0,0.88,0.01,0.02
0.55,0.19,0.34,0.84,0.33,0.47
0.60,0.27,0.4,0.81,0.46,0.59
0.65,0.38,0.34,0.73,0.65,0.69
0.70,0.35,0.19,0.68,0.78,0.72
0.75,0.29,0.17,0.67,0.87,0.76
0.80,0.17,0.04,0.63,0.94,0.75
0.85,0.08,0.01,0.6,0.98,0.74
0.90,0.02,0.0,0.58,0.98,0.73
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.83,0.01,0.01
0.50,0.0,0.0,0.88,0.01,0.02
0.55,0.19,0.34,0.84,0.33,0.47
0.60,0.27,0.4,0.81,0.46,0.59
0.65,0.38,0.34,0.73,0.65,0.69
0.70,0.35,0.19,0.68,0.78,0.72
0.75,0.29,0.17,0.67,0.87,0.76
0.80,0.17,0.04,0.63,0.94,0.75
0.85,0.08,0.01,0.6,0.98,0.74
0.90,0.02,0.0,0.58,0.98,0.73
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.83,0.01,0.01
0.50,0.0,0.0,0.88,0.01,0.02
0.55,0.19,0.34,0.84,0.33,0.47
0.60,0.27,0.4,0.81,0.46,0.59
0.65,0.38,0.34,0.73,0.65,0.69
0.70,0.35,0.19,0.68,0.78,0.72
0.75,0.29,0.17,0.67,0.87,0.76
0.80,0.17,0.04,0.63,0.94,0.75
0.85,0.08,0.01,0.6,0.98,0.74
0.90,0.02,0.0,0.58,0.98,0.73
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 160.64 seconds
