,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.08,0.08,0.9,0.16,0.28
0.45,0.23,0.31,0.88,0.39,0.54
0.50,0.4,0.47,0.82,0.62,0.7
0.55,0.5,0.44,0.78,0.73,0.76
0.60,0.48,0.25,0.74,0.83,0.79
0.65,0.39,0.12,0.71,0.9,0.79
0.70,0.31,0.07,0.68,0.96,0.8
0.75,0.24,0.04,0.65,0.98,0.79
0.80,0.19,0.03,0.64,1.0,0.78
0.85,0.16,0.02,0.63,1.0,0.77
0.90,0.15,0.02,0.63,1.0,0.77
max
0.40,0.08,0.08,0.9,0.16,0.28
0.45,0.23,0.31,0.88,0.39,0.54
0.50,0.4,0.47,0.82,0.62,0.7
0.55,0.5,0.44,0.78,0.73,0.76
0.60,0.48,0.25,0.74,0.83,0.79
0.65,0.39,0.12,0.71,0.9,0.79
0.70,0.31,0.07,0.68,0.96,0.8
0.75,0.24,0.04,0.65,0.98,0.79
0.80,0.19,0.03,0.64,1.0,0.78
0.85,0.16,0.02,0.63,1.0,0.77
0.90,0.15,0.02,0.63,1.0,0.77
min
0.40,0.08,0.08,0.9,0.16,0.28
0.45,0.23,0.31,0.88,0.39,0.54
0.50,0.4,0.47,0.82,0.62,0.7
0.55,0.5,0.44,0.78,0.73,0.76
0.60,0.48,0.25,0.74,0.83,0.79
0.65,0.39,0.12,0.71,0.9,0.79
0.70,0.31,0.07,0.68,0.96,0.8
0.75,0.24,0.04,0.65,0.98,0.79
0.80,0.19,0.03,0.64,1.0,0.78
0.85,0.16,0.02,0.63,1.0,0.77
0.90,0.15,0.02,0.63,1.0,0.77
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1306.95 seconds
