,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.01,0.02
0.50,0.02,0.02,0.76,0.05,0.1
0.55,0.16,0.34,0.82,0.29,0.43
0.60,0.29,0.47,0.81,0.49,0.61
0.65,0.39,0.4,0.74,0.65,0.69
0.70,0.38,0.25,0.69,0.77,0.73
0.75,0.29,0.14,0.67,0.88,0.76
0.80,0.17,0.04,0.63,0.95,0.76
0.85,0.07,0.01,0.6,0.97,0.74
0.90,0.01,0.0,0.58,0.99,0.73
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.01,0.02
0.50,0.02,0.02,0.76,0.05,0.1
0.55,0.16,0.34,0.82,0.29,0.43
0.60,0.29,0.47,0.81,0.49,0.61
0.65,0.39,0.4,0.74,0.65,0.69
0.70,0.38,0.25,0.69,0.77,0.73
0.75,0.29,0.14,0.67,0.88,0.76
0.80,0.17,0.04,0.63,0.95,0.76
0.85,0.07,0.01,0.6,0.97,0.74
0.90,0.01,0.0,0.58,0.99,0.73
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.01,0.02
0.50,0.02,0.02,0.76,0.05,0.1
0.55,0.16,0.34,0.82,0.29,0.43
0.60,0.29,0.47,0.81,0.49,0.61
0.65,0.39,0.4,0.74,0.65,0.69
0.70,0.38,0.25,0.69,0.77,0.73
0.75,0.29,0.14,0.67,0.88,0.76
0.80,0.17,0.04,0.63,0.95,0.76
0.85,0.07,0.01,0.6,0.97,0.74
0.90,0.01,0.0,0.58,0.99,0.73
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 145.36 seconds
