,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.01,0.02
0.50,0.01,0.01,1.0,0.02,0.04
0.55,0.1,0.11,0.92,0.18,0.3
0.60,0.27,0.45,0.82,0.45,0.58
0.65,0.4,0.49,0.8,0.63,0.7
0.70,0.5,0.39,0.75,0.78,0.77
0.75,0.35,0.14,0.69,0.87,0.77
0.80,0.23,0.06,0.65,0.94,0.77
0.85,0.1,0.01,0.61,0.97,0.75
0.90,0.03,0.0,0.59,0.99,0.73
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.01,0.02
0.50,0.01,0.01,1.0,0.02,0.04
0.55,0.1,0.11,0.92,0.18,0.3
0.60,0.27,0.45,0.82,0.45,0.58
0.65,0.4,0.49,0.8,0.63,0.7
0.70,0.5,0.39,0.75,0.78,0.77
0.75,0.35,0.14,0.69,0.87,0.77
0.80,0.23,0.06,0.65,0.94,0.77
0.85,0.1,0.01,0.61,0.97,0.75
0.90,0.03,0.0,0.59,0.99,0.73
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.01,0.02
0.50,0.01,0.01,1.0,0.02,0.04
0.55,0.1,0.11,0.92,0.18,0.3
0.60,0.27,0.45,0.82,0.45,0.58
0.65,0.4,0.49,0.8,0.63,0.7
0.70,0.5,0.39,0.75,0.78,0.77
0.75,0.35,0.14,0.69,0.87,0.77
0.80,0.23,0.06,0.65,0.94,0.77
0.85,0.1,0.01,0.61,0.97,0.75
0.90,0.03,0.0,0.59,0.99,0.73
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 293.25 seconds
