,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.0,0.01
0.50,0.02,0.02,0.98,0.03,0.07
0.55,0.08,0.09,0.9,0.15,0.26
0.60,0.26,0.38,0.83,0.44,0.58
0.65,0.43,0.55,0.82,0.65,0.72
0.70,0.51,0.35,0.76,0.79,0.77
0.75,0.39,0.22,0.71,0.89,0.79
0.80,0.26,0.06,0.66,0.95,0.78
0.85,0.14,0.02,0.62,0.98,0.76
0.90,0.06,0.01,0.59,0.99,0.74
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.0,0.01
0.50,0.02,0.02,0.98,0.03,0.07
0.55,0.08,0.09,0.9,0.15,0.26
0.60,0.26,0.38,0.83,0.44,0.58
0.65,0.43,0.55,0.82,0.65,0.72
0.70,0.51,0.35,0.76,0.79,0.77
0.75,0.39,0.22,0.71,0.89,0.79
0.80,0.26,0.06,0.66,0.95,0.78
0.85,0.14,0.02,0.62,0.98,0.76
0.90,0.06,0.01,0.59,0.99,0.74
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.0,0.01
0.50,0.02,0.02,0.98,0.03,0.07
0.55,0.08,0.09,0.9,0.15,0.26
0.60,0.26,0.38,0.83,0.44,0.58
0.65,0.43,0.55,0.82,0.65,0.72
0.70,0.51,0.35,0.76,0.79,0.77
0.75,0.39,0.22,0.71,0.89,0.79
0.80,0.26,0.06,0.66,0.95,0.78
0.85,0.14,0.02,0.62,0.98,0.76
0.90,0.06,0.01,0.59,0.99,0.74
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 466.69 seconds
