,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.40,0.0,0.0,1.0,0.0,0.0,12.75
0.45,0.0,0.0,1.0,0.01,0.02,12.61
0.50,0.0,0.0,1.0,0.01,0.02,12.89
0.55,0.12,0.11,0.94,0.26,0.41,12.76
0.60,0.24,0.31,0.93,0.48,0.64,12.57
0.65,0.39,0.55,0.93,0.68,0.79,12.08
0.70,0.55,0.67,0.92,0.82,0.87,11.95
0.75,0.65,0.45,0.89,0.92,0.91,11.29
0.80,0.5,0.29,0.86,0.98,0.91,9.7
0.85,0.33,0.1,0.82,0.99,0.9,8.42
0.90,0.27,0.07,0.8,1.0,0.89,7.79
max
0.40,0.0,0.0,1.0,0.0,0.0,12.75
0.45,0.0,0.0,1.0,0.01,0.02,12.61
0.50,0.0,0.0,1.0,0.01,0.02,12.89
0.55,0.12,0.11,0.94,0.26,0.41,12.76
0.60,0.24,0.31,0.93,0.48,0.64,12.57
0.65,0.39,0.55,0.93,0.68,0.79,12.08
0.70,0.55,0.67,0.92,0.82,0.87,11.95
0.75,0.65,0.45,0.89,0.92,0.91,11.29
0.80,0.5,0.29,0.86,0.98,0.91,9.7
0.85,0.33,0.1,0.82,0.99,0.9,8.42
0.90,0.27,0.07,0.8,1.0,0.89,7.79
min
0.40,0.0,0.0,1.0,0.0,0.0,12.75
0.45,0.0,0.0,1.0,0.01,0.02,12.61
0.50,0.0,0.0,1.0,0.01,0.02,12.89
0.55,0.12,0.11,0.94,0.26,0.41,12.76
0.60,0.24,0.31,0.93,0.48,0.64,12.57
0.65,0.39,0.55,0.93,0.68,0.79,12.08
0.70,0.55,0.67,0.92,0.82,0.87,11.95
0.75,0.65,0.45,0.89,0.92,0.91,11.29
0.80,0.5,0.29,0.86,0.98,0.91,9.7
0.85,0.33,0.1,0.82,0.99,0.9,8.42
0.90,0.27,0.07,0.8,1.0,0.89,7.79
std
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 530.59 seconds
