,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.40,0.0,0.0,0.74,0.0,0.01,343.62
0.45,0.0,0.0,0.84,0.01,0.02,269.86
0.50,0.06,0.03,0.94,0.14,0.24,276.2
0.55,0.21,0.22,0.95,0.41,0.58,209.1
0.60,0.34,0.49,0.94,0.62,0.75,167.73
0.65,0.51,0.63,0.93,0.79,0.85,121.14
0.70,0.64,0.62,0.91,0.88,0.89,87.77
0.75,0.58,0.3,0.88,0.96,0.92,59.4
0.80,0.44,0.19,0.84,0.99,0.91,39.29
0.85,0.31,0.09,0.81,1.0,0.9,27.42
0.90,0.27,0.08,0.8,1.0,0.89,26.25
max
0.40,0.0,-0.0,0.74,0.0,0.01,343.62
0.45,0.0,0.0,0.84,0.01,0.02,269.86
0.50,0.06,0.03,0.94,0.14,0.24,276.2
0.55,0.21,0.22,0.95,0.41,0.58,209.1
0.60,0.34,0.49,0.94,0.62,0.75,167.73
0.65,0.51,0.63,0.93,0.79,0.85,121.14
0.70,0.64,0.62,0.91,0.88,0.89,87.77
0.75,0.58,0.3,0.88,0.96,0.92,59.4
0.80,0.44,0.19,0.84,0.99,0.91,39.29
0.85,0.31,0.09,0.81,1.0,0.9,27.42
0.90,0.27,0.08,0.8,1.0,0.89,26.25
min
0.40,0.0,-0.0,0.74,0.0,0.01,343.62
0.45,0.0,0.0,0.84,0.01,0.02,269.86
0.50,0.06,0.03,0.94,0.14,0.24,276.2
0.55,0.21,0.22,0.95,0.41,0.58,209.1
0.60,0.34,0.49,0.94,0.62,0.75,167.73
0.65,0.51,0.63,0.93,0.79,0.85,121.14
0.70,0.64,0.62,0.91,0.88,0.89,87.77
0.75,0.58,0.3,0.88,0.96,0.92,59.4
0.80,0.44,0.19,0.84,0.99,0.91,39.29
0.85,0.31,0.09,0.81,1.0,0.9,27.42
0.90,0.27,0.08,0.8,1.0,0.89,26.25
std
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1648.32 seconds
