,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.40,0.05,0.02,0.91,0.15,0.26,11.83
0.45,0.26,0.36,0.93,0.51,0.66,11.83
0.50,0.39,0.5,0.92,0.69,0.79,10.52
0.55,0.48,0.4,0.89,0.79,0.84,5.66
0.60,0.59,0.43,0.89,0.87,0.88,5.88
0.65,0.54,0.29,0.87,0.93,0.9,5.17
0.70,0.47,0.2,0.85,0.98,0.91,9.44
0.75,0.38,0.15,0.83,0.99,0.9,8.5
0.80,0.31,0.09,0.81,1.0,0.9,8.05
0.85,0.28,0.08,0.81,1.0,0.89,7.83
0.90,0.26,0.07,0.8,1.0,0.89,7.62
max
0.40,0.05,0.02,0.91,0.15,0.26,11.83
0.45,0.26,0.36,0.93,0.51,0.66,11.83
0.50,0.39,0.5,0.92,0.69,0.79,10.52
0.55,0.48,0.4,0.89,0.79,0.84,5.66
0.60,0.59,0.43,0.89,0.87,0.88,5.88
0.65,0.54,0.29,0.87,0.93,0.9,5.17
0.70,0.47,0.2,0.85,0.98,0.91,9.44
0.75,0.38,0.15,0.83,0.99,0.9,8.5
0.80,0.31,0.09,0.81,1.0,0.9,8.05
0.85,0.28,0.08,0.81,1.0,0.89,7.83
0.90,0.26,0.07,0.8,1.0,0.89,7.62
min
0.40,0.05,0.02,0.91,0.15,0.26,11.83
0.45,0.26,0.36,0.93,0.51,0.66,11.83
0.50,0.39,0.5,0.92,0.69,0.79,10.52
0.55,0.48,0.4,0.89,0.79,0.84,5.66
0.60,0.59,0.43,0.89,0.87,0.88,5.88
0.65,0.54,0.29,0.87,0.93,0.9,5.17
0.70,0.47,0.2,0.85,0.98,0.91,9.44
0.75,0.38,0.15,0.83,0.99,0.9,8.5
0.80,0.31,0.09,0.81,1.0,0.9,8.05
0.85,0.28,0.08,0.81,1.0,0.89,7.83
0.90,0.26,0.07,0.8,1.0,0.89,7.62
std
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1461.28 seconds
