,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,0.33,0.0,0.0
0.45,0.0,0.0,0.33,0.0,0.0
0.50,0.1,0.01,0.89,0.11,0.19
0.55,0.55,0.3,0.92,0.56,0.7
0.60,0.81,0.7,0.92,0.81,0.86
0.65,0.89,0.86,0.89,0.93,0.91
0.70,0.81,0.82,0.83,0.96,0.89
0.75,0.66,0.66,0.71,0.98,0.83
0.80,0.49,0.4,0.6,0.99,0.75
0.85,0.35,0.24,0.53,1.0,0.69
0.90,0.25,0.13,0.49,1.0,0.65
max
0.40,-0.0,-0.0,0.33,0.0,0.0
0.45,-0.0,-0.0,0.33,0.0,0.0
0.50,0.1,0.01,0.89,0.11,0.19
0.55,0.55,0.3,0.92,0.56,0.7
0.60,0.81,0.7,0.92,0.81,0.86
0.65,0.89,0.86,0.89,0.93,0.91
0.70,0.81,0.82,0.83,0.96,0.89
0.75,0.66,0.66,0.71,0.98,0.83
0.80,0.49,0.4,0.6,0.99,0.75
0.85,0.35,0.24,0.53,1.0,0.69
0.90,0.25,0.13,0.49,1.0,0.65
min
0.40,-0.0,-0.0,0.33,0.0,0.0
0.45,-0.0,-0.0,0.33,0.0,0.0
0.50,0.1,0.01,0.89,0.11,0.19
0.55,0.55,0.3,0.92,0.56,0.7
0.60,0.81,0.7,0.92,0.81,0.86
0.65,0.89,0.86,0.89,0.93,0.91
0.70,0.81,0.82,0.83,0.96,0.89
0.75,0.66,0.66,0.71,0.98,0.83
0.80,0.49,0.4,0.6,0.99,0.75
0.85,0.35,0.24,0.53,1.0,0.69
0.90,0.25,0.13,0.49,1.0,0.65
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 16914.75 seconds
