,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.42,0.18,0.89,0.42,0.57
0.45,0.69,0.49,0.9,0.7,0.78
0.50,0.84,0.75,0.9,0.85,0.87
0.55,0.87,0.85,0.88,0.92,0.9
0.60,0.79,0.81,0.81,0.96,0.88
0.65,0.7,0.71,0.74,0.98,0.84
0.70,0.58,0.53,0.66,0.99,0.79
0.75,0.49,0.42,0.6,0.99,0.75
0.80,0.41,0.31,0.56,1.0,0.72
0.85,0.33,0.24,0.52,1.0,0.69
0.90,0.29,0.17,0.5,1.0,0.67
max
0.40,0.42,0.18,0.89,0.42,0.57
0.45,0.69,0.49,0.9,0.7,0.78
0.50,0.84,0.75,0.9,0.85,0.87
0.55,0.87,0.85,0.88,0.92,0.9
0.60,0.79,0.81,0.81,0.96,0.88
0.65,0.7,0.71,0.74,0.98,0.84
0.70,0.58,0.53,0.66,0.99,0.79
0.75,0.49,0.42,0.6,0.99,0.75
0.80,0.41,0.31,0.56,1.0,0.72
0.85,0.33,0.24,0.52,1.0,0.69
0.90,0.29,0.17,0.5,1.0,0.67
min
0.40,0.42,0.18,0.89,0.42,0.57
0.45,0.69,0.49,0.9,0.7,0.78
0.50,0.84,0.75,0.9,0.85,0.87
0.55,0.87,0.85,0.88,0.92,0.9
0.60,0.79,0.81,0.81,0.96,0.88
0.65,0.7,0.71,0.74,0.98,0.84
0.70,0.58,0.53,0.66,0.99,0.79
0.75,0.49,0.42,0.6,0.99,0.75
0.80,0.41,0.31,0.56,1.0,0.72
0.85,0.33,0.24,0.52,1.0,0.69
0.90,0.29,0.17,0.5,1.0,0.67
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 30555.55 seconds
