,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,0.34,0.0,0.0
0.45,0.0,0.0,0.35,0.0,0.0
0.50,0.0,0.0,0.27,0.01,0.01
0.55,0.26,0.08,0.57,0.27,0.37
0.60,0.49,0.29,0.59,0.52,0.55
0.65,0.55,0.5,0.6,0.73,0.66
0.70,0.47,0.41,0.56,0.82,0.66
0.75,0.36,0.24,0.51,0.9,0.65
0.80,0.24,0.11,0.47,0.96,0.63
0.85,0.12,0.03,0.44,0.99,0.6
0.90,0.04,0.01,0.41,0.99,0.58
max
0.40,0.0,0.0,0.34,0.0,0.0
0.45,0.0,0.0,0.35,0.0,0.0
0.50,0.0,-0.0,0.27,0.01,0.01
0.55,0.26,0.08,0.57,0.27,0.37
0.60,0.49,0.29,0.59,0.52,0.55
0.65,0.55,0.5,0.6,0.73,0.66
0.70,0.47,0.41,0.56,0.82,0.66
0.75,0.36,0.24,0.51,0.9,0.65
0.80,0.24,0.11,0.47,0.96,0.63
0.85,0.12,0.03,0.44,0.99,0.6
0.90,0.04,0.01,0.41,0.99,0.58
min
0.40,0.0,0.0,0.34,0.0,0.0
0.45,0.0,0.0,0.35,0.0,0.0
0.50,0.0,-0.0,0.27,0.01,0.01
0.55,0.26,0.08,0.57,0.27,0.37
0.60,0.49,0.29,0.59,0.52,0.55
0.65,0.55,0.5,0.6,0.73,0.66
0.70,0.47,0.41,0.56,0.82,0.66
0.75,0.36,0.24,0.51,0.9,0.65
0.80,0.24,0.11,0.47,0.96,0.63
0.85,0.12,0.03,0.44,0.99,0.6
0.90,0.04,0.01,0.41,0.99,0.58
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3568.21 seconds
