,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.33,0.0,0.0
0.50,0.06,0.01,0.93,0.07,0.13
0.55,0.45,0.22,0.88,0.46,0.6
0.60,0.73,0.6,0.89,0.74,0.81
0.65,0.88,0.83,0.88,0.9,0.89
0.70,0.8,0.82,0.82,0.95,0.88
0.75,0.66,0.65,0.71,0.97,0.82
0.80,0.48,0.39,0.6,0.99,0.74
0.85,0.33,0.2,0.52,1.0,0.68
0.90,0.21,0.08,0.47,1.0,0.64
max
0.40,0.0,0.0,1.0,0.0,0.0
0.45,-0.0,-0.0,0.33,0.0,0.0
0.50,0.06,0.01,0.93,0.07,0.13
0.55,0.45,0.22,0.88,0.46,0.6
0.60,0.73,0.6,0.89,0.74,0.81
0.65,0.88,0.83,0.88,0.9,0.89
0.70,0.8,0.82,0.82,0.95,0.88
0.75,0.66,0.65,0.71,0.97,0.82
0.80,0.48,0.39,0.6,0.99,0.74
0.85,0.33,0.2,0.52,1.0,0.68
0.90,0.21,0.08,0.47,1.0,0.64
min
0.40,0.0,0.0,1.0,0.0,0.0
0.45,-0.0,-0.0,0.33,0.0,0.0
0.50,0.06,0.01,0.93,0.07,0.13
0.55,0.45,0.22,0.88,0.46,0.6
0.60,0.73,0.6,0.89,0.74,0.81
0.65,0.88,0.83,0.88,0.9,0.89
0.70,0.8,0.82,0.82,0.95,0.88
0.75,0.66,0.65,0.71,0.97,0.82
0.80,0.48,0.39,0.6,0.99,0.74
0.85,0.33,0.2,0.52,1.0,0.68
0.90,0.21,0.08,0.47,1.0,0.64
std
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 14017.41 seconds
