,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.13,0.04,0.89,0.56,0.69,21.54
0.65,0.19,0.14,0.9,0.73,0.81,22.03
0.70,0.28,0.24,0.91,0.85,0.88,23.61
0.75,0.28,0.22,0.9,0.94,0.92,18.93
0.80,0.12,0.14,0.89,0.98,0.93,14.75
0.85,0.02,0.07,0.88,0.99,0.93,13.38
0.90,-0.03,0.02,0.88,1.0,0.93,12.93
max
0.60,0.13,0.04,0.89,0.56,0.69,21.54
0.65,0.19,0.14,0.9,0.73,0.81,22.03
0.70,0.28,0.24,0.91,0.85,0.88,23.61
0.75,0.28,0.22,0.9,0.94,0.92,18.93
0.80,0.12,0.14,0.89,0.98,0.93,14.75
0.85,0.02,0.07,0.88,0.99,0.93,13.38
0.90,-0.03,0.02,0.88,1.0,0.93,12.93
min
0.60,0.13,0.04,0.89,0.56,0.69,21.54
0.65,0.19,0.14,0.9,0.73,0.81,22.03
0.70,0.28,0.24,0.91,0.85,0.88,23.61
0.75,0.28,0.22,0.9,0.94,0.92,18.93
0.80,0.12,0.14,0.89,0.98,0.93,14.75
0.85,0.02,0.07,0.88,0.99,0.93,13.38
0.90,-0.03,0.02,0.88,1.0,0.93,12.93
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 3958.11 seconds
