,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.02,0.0,0.89,0.1,0.17,26.38
0.65,0.05,0.01,0.88,0.26,0.41,27.04
0.70,0.11,0.02,0.9,0.48,0.62,27.94
0.75,0.18,0.1,0.91,0.69,0.78,28.19
0.80,0.29,0.22,0.91,0.86,0.88,25.84
0.85,0.2,0.17,0.89,0.96,0.92,20.01
0.90,0.03,0.06,0.88,0.99,0.93,16.26
max
0.60,0.02,0.0,0.89,0.1,0.17,26.38
0.65,0.05,0.01,0.88,0.26,0.41,27.04
0.70,0.11,0.02,0.9,0.48,0.62,27.94
0.75,0.18,0.1,0.91,0.69,0.78,28.19
0.80,0.29,0.22,0.91,0.86,0.88,25.84
0.85,0.2,0.17,0.89,0.96,0.92,20.01
0.90,0.03,0.06,0.88,0.99,0.93,16.26
min
0.60,0.02,0.0,0.89,0.1,0.17,26.38
0.65,0.05,0.01,0.88,0.26,0.41,27.04
0.70,0.11,0.02,0.9,0.48,0.62,27.94
0.75,0.18,0.1,0.91,0.69,0.78,28.19
0.80,0.29,0.22,0.91,0.86,0.88,25.84
0.85,0.2,0.17,0.89,0.96,0.92,20.01
0.90,0.03,0.06,0.88,0.99,0.93,16.26
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 233.82 seconds
