,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.25,0.21,0.9,0.83,0.87
0.65,0.3,0.22,0.9,0.89,0.9
0.70,0.28,0.22,0.9,0.93,0.92
0.75,0.18,0.19,0.89,0.96,0.93
0.80,0.11,0.14,0.89,0.98,0.93
0.85,0.05,0.09,0.88,0.99,0.93
0.90,0.0,0.05,0.88,0.99,0.93
max
0.60,0.25,0.21,0.9,0.83,0.87
0.65,0.3,0.22,0.9,0.89,0.9
0.70,0.28,0.22,0.9,0.93,0.92
0.75,0.18,0.19,0.89,0.96,0.93
0.80,0.11,0.14,0.89,0.98,0.93
0.85,0.05,0.09,0.88,0.99,0.93
0.90,0.0,0.05,0.88,0.99,0.93
min
0.60,0.25,0.21,0.9,0.83,0.87
0.65,0.3,0.22,0.9,0.89,0.9
0.70,0.28,0.22,0.9,0.93,0.92
0.75,0.18,0.19,0.89,0.96,0.93
0.80,0.11,0.14,0.89,0.98,0.93
0.85,0.05,0.09,0.88,0.99,0.93
0.90,0.0,0.05,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1097.95 seconds
