,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.07,0.01,0.9,0.28,0.43
0.65,0.14,0.05,0.91,0.57,0.7
0.70,0.2,0.14,0.91,0.73,0.81
0.75,0.32,0.26,0.91,0.88,0.89
0.80,0.22,0.21,0.9,0.97,0.93
0.85,0.06,0.09,0.88,0.99,0.93
0.90,-0.03,0.03,0.87,0.99,0.93
max
0.60,0.07,0.01,0.9,0.28,0.43
0.65,0.14,0.05,0.91,0.57,0.7
0.70,0.2,0.14,0.91,0.73,0.81
0.75,0.32,0.26,0.91,0.88,0.89
0.80,0.22,0.21,0.9,0.97,0.93
0.85,0.06,0.09,0.88,0.99,0.93
0.90,-0.03,0.03,0.87,0.99,0.93
min
0.60,0.07,0.01,0.9,0.28,0.43
0.65,0.14,0.05,0.91,0.57,0.7
0.70,0.2,0.14,0.91,0.73,0.81
0.75,0.32,0.26,0.91,0.88,0.89
0.80,0.22,0.21,0.9,0.97,0.93
0.85,0.06,0.09,0.88,0.99,0.93
0.90,-0.03,0.03,0.87,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 6169.27 seconds
