,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.02,0.0,0.92,0.08,0.14
0.65,0.08,0.01,0.89,0.33,0.48
0.70,0.14,0.05,0.9,0.57,0.7
0.75,0.23,0.2,0.91,0.78,0.84
0.80,0.3,0.25,0.9,0.92,0.91
0.85,0.11,0.13,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
max
0.60,0.02,0.0,0.92,0.08,0.14
0.65,0.08,0.01,0.89,0.33,0.48
0.70,0.14,0.05,0.9,0.57,0.7
0.75,0.23,0.2,0.91,0.78,0.84
0.80,0.3,0.25,0.9,0.92,0.91
0.85,0.11,0.13,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
min
0.60,0.02,0.0,0.92,0.08,0.14
0.65,0.08,0.01,0.89,0.33,0.48
0.70,0.14,0.05,0.9,0.57,0.7
0.75,0.23,0.2,0.91,0.78,0.84
0.80,0.3,0.25,0.9,0.92,0.91
0.85,0.11,0.13,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 5626.78 seconds
