,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.03,0.0,0.85,0.11,0.19
0.65,0.09,0.02,0.9,0.35,0.51
0.70,0.14,0.05,0.9,0.56,0.69
0.75,0.22,0.18,0.91,0.77,0.83
0.80,0.3,0.23,0.9,0.92,0.91
0.85,0.12,0.14,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
max
0.60,0.03,0.0,0.85,0.11,0.19
0.65,0.09,0.02,0.9,0.35,0.51
0.70,0.14,0.05,0.9,0.56,0.69
0.75,0.22,0.18,0.91,0.77,0.83
0.80,0.3,0.23,0.9,0.92,0.91
0.85,0.12,0.14,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
min
0.60,0.03,0.0,0.85,0.11,0.19
0.65,0.09,0.02,0.9,0.35,0.51
0.70,0.14,0.05,0.9,0.56,0.69
0.75,0.22,0.18,0.91,0.77,0.83
0.80,0.3,0.23,0.9,0.92,0.91
0.85,0.12,0.14,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 4239.17 seconds
