,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.15,0.11,0.9,0.6,0.72
0.65,0.17,0.14,0.9,0.68,0.77
0.70,0.21,0.2,0.9,0.76,0.83
0.75,0.25,0.23,0.9,0.83,0.87
0.80,0.26,0.2,0.9,0.93,0.91
0.85,0.1,0.11,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
max
0.60,0.15,0.11,0.9,0.6,0.72
0.65,0.17,0.14,0.9,0.68,0.77
0.70,0.21,0.2,0.9,0.76,0.83
0.75,0.25,0.23,0.9,0.83,0.87
0.80,0.26,0.2,0.9,0.93,0.91
0.85,0.1,0.11,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
min
0.60,0.15,0.11,0.9,0.6,0.72
0.65,0.17,0.14,0.9,0.68,0.77
0.70,0.21,0.2,0.9,0.76,0.83
0.75,0.25,0.23,0.9,0.83,0.87
0.80,0.26,0.2,0.9,0.93,0.91
0.85,0.1,0.11,0.89,0.99,0.93
0.90,-0.02,0.03,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 7278.85 seconds
