,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.08,0.01,0.9,0.3,0.45
0.65,0.15,0.04,0.92,0.52,0.67
0.70,0.24,0.2,0.93,0.73,0.82
0.75,0.33,0.29,0.92,0.85,0.88
0.80,0.35,0.3,0.91,0.94,0.93
0.85,0.16,0.19,0.89,0.99,0.94
0.90,0.02,0.07,0.88,0.99,0.93
max
0.60,0.08,0.01,0.9,0.3,0.45
0.65,0.15,0.04,0.92,0.52,0.67
0.70,0.24,0.2,0.93,0.73,0.82
0.75,0.33,0.29,0.92,0.85,0.88
0.80,0.35,0.3,0.91,0.94,0.93
0.85,0.16,0.19,0.89,0.99,0.94
0.90,0.02,0.07,0.88,0.99,0.93
min
0.60,0.08,0.01,0.9,0.3,0.45
0.65,0.15,0.04,0.92,0.52,0.67
0.70,0.24,0.2,0.93,0.73,0.82
0.75,0.33,0.29,0.92,0.85,0.88
0.80,0.35,0.3,0.91,0.94,0.93
0.85,0.16,0.19,0.89,0.99,0.94
0.90,0.02,0.07,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3137.41 seconds
