,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.94,0.02,0.03
0.70,0.0,0.0,0.88,0.07,0.12
0.75,0.02,0.0,0.9,0.21,0.35
0.80,0.08,0.01,0.9,0.52,0.66
0.85,0.24,0.15,0.9,0.93,0.92
0.90,0.04,0.1,0.88,0.99,0.93
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.94,0.02,0.03
0.70,0.0,0.0,0.88,0.07,0.12
0.75,0.02,0.0,0.9,0.21,0.35
0.80,0.08,0.01,0.9,0.52,0.66
0.85,0.24,0.15,0.9,0.93,0.92
0.90,0.04,0.1,0.88,0.99,0.93
min
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.94,0.02,0.03
0.70,0.0,0.0,0.88,0.07,0.12
0.75,0.02,0.0,0.9,0.21,0.35
0.80,0.08,0.01,0.9,0.52,0.66
0.85,0.24,0.15,0.9,0.93,0.92
0.90,0.04,0.1,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1104.90 seconds
