,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.07,0.01,0.92,0.29,0.44
0.65,0.15,0.05,0.92,0.52,0.67
0.70,0.23,0.17,0.93,0.73,0.81
0.75,0.34,0.3,0.92,0.85,0.89
0.80,0.34,0.29,0.91,0.94,0.93
0.85,0.15,0.18,0.89,0.99,0.94
0.90,0.03,0.08,0.88,0.99,0.93
max
0.60,0.07,0.01,0.92,0.29,0.44
0.65,0.15,0.05,0.92,0.52,0.67
0.70,0.23,0.17,0.93,0.73,0.81
0.75,0.34,0.3,0.92,0.85,0.89
0.80,0.34,0.29,0.91,0.94,0.93
0.85,0.15,0.18,0.89,0.99,0.94
0.90,0.03,0.08,0.88,0.99,0.93
min
0.60,0.07,0.01,0.92,0.29,0.44
0.65,0.15,0.05,0.92,0.52,0.67
0.70,0.23,0.17,0.93,0.73,0.81
0.75,0.34,0.3,0.92,0.85,0.89
0.80,0.34,0.29,0.91,0.94,0.93
0.85,0.15,0.18,0.89,0.99,0.94
0.90,0.03,0.08,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 109.51 seconds
