,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.01,0.0,0.87,0.17,0.29
0.65,0.03,0.0,0.88,0.41,0.56
0.70,0.11,0.01,0.89,0.71,0.79
0.75,0.22,0.14,0.89,0.93,0.91
0.80,0.09,0.16,0.89,0.99,0.93
0.85,0.02,0.09,0.88,0.99,0.93
0.90,-0.02,0.05,0.88,1.0,0.93
max
0.60,0.01,0.0,0.87,0.17,0.29
0.65,0.03,0.0,0.88,0.41,0.56
0.70,0.11,0.01,0.89,0.71,0.79
0.75,0.22,0.14,0.89,0.93,0.91
0.80,0.09,0.16,0.89,0.99,0.93
0.85,0.02,0.09,0.88,0.99,0.93
0.90,-0.02,0.05,0.88,1.0,0.93
min
0.60,0.01,0.0,0.87,0.17,0.29
0.65,0.03,0.0,0.88,0.41,0.56
0.70,0.11,0.01,0.89,0.71,0.79
0.75,0.22,0.14,0.89,0.93,0.91
0.80,0.09,0.16,0.89,0.99,0.93
0.85,0.02,0.09,0.88,0.99,0.93
0.90,-0.02,0.05,0.88,1.0,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3131.92 seconds
