,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.08,0.07,0.55,0.27,0.36,43.2
0.40,0.12,0.11,0.57,0.36,0.44,41.81
0.45,0.15,0.08,0.58,0.43,0.49,39.4
0.50,0.19,0.09,0.6,0.51,0.55,36.67
0.55,0.24,0.07,0.6,0.59,0.6,32.67
0.60,0.25,0.07,0.61,0.65,0.63,32.21
0.65,0.23,0.05,0.61,0.73,0.67,29.61
0.70,0.2,0.03,0.61,0.8,0.69,22.77
max
0.35,0.08,0.07,0.55,0.27,0.36,43.2
0.40,0.12,0.11,0.57,0.36,0.44,41.81
0.45,0.15,0.08,0.58,0.43,0.49,39.4
0.50,0.19,0.09,0.6,0.51,0.55,36.67
0.55,0.24,0.07,0.6,0.59,0.6,32.67
0.60,0.25,0.07,0.61,0.65,0.63,32.21
0.65,0.23,0.05,0.61,0.73,0.67,29.61
0.70,0.2,0.03,0.61,0.8,0.69,22.77
min
0.35,0.08,0.07,0.55,0.27,0.36,43.2
0.40,0.12,0.11,0.57,0.36,0.44,41.81
0.45,0.15,0.08,0.58,0.43,0.49,39.4
0.50,0.19,0.09,0.6,0.51,0.55,36.67
0.55,0.24,0.07,0.6,0.59,0.6,32.67
0.60,0.25,0.07,0.61,0.65,0.63,32.21
0.65,0.23,0.05,0.61,0.73,0.67,29.61
0.70,0.2,0.03,0.61,0.8,0.69,22.77
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 16204.63 seconds
