,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.35,0.0,-0.04,0.4,0.06,0.1,45.67
0.40,0.04,0.05,0.53,0.15,0.23,44.93
0.45,0.09,0.1,0.59,0.27,0.37,42.53
0.50,0.12,0.13,0.58,0.35,0.44,40.52
0.55,0.13,0.1,0.57,0.41,0.48,39.06
0.60,0.17,0.06,0.57,0.52,0.54,33.46
0.65,0.19,0.04,0.58,0.62,0.6,30.18
0.70,0.17,0.03,0.58,0.69,0.63,26.99
max
0.35,0.0,-0.04,0.4,0.06,0.1,45.67
0.40,0.04,0.05,0.53,0.15,0.23,44.93
0.45,0.09,0.1,0.59,0.27,0.37,42.53
0.50,0.12,0.13,0.58,0.35,0.44,40.52
0.55,0.13,0.1,0.57,0.41,0.48,39.06
0.60,0.17,0.06,0.57,0.52,0.54,33.46
0.65,0.19,0.04,0.58,0.62,0.6,30.18
0.70,0.17,0.03,0.58,0.69,0.63,26.99
min
0.35,0.0,-0.04,0.4,0.06,0.1,45.67
0.40,0.04,0.05,0.53,0.15,0.23,44.93
0.45,0.09,0.1,0.59,0.27,0.37,42.53
0.50,0.12,0.13,0.58,0.35,0.44,40.52
0.55,0.13,0.1,0.57,0.41,0.48,39.06
0.60,0.17,0.06,0.57,0.52,0.54,33.46
0.65,0.19,0.04,0.58,0.62,0.6,30.18
0.70,0.17,0.03,0.58,0.69,0.63,26.99
std
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 37887.48 seconds
