,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.0,0.0,1.0,0.0,0.0,257.9
0.10,0.01,0.03,0.46,0.07,0.13,258.24
0.15,0.02,0.02,0.46,0.15,0.22,250.69
0.20,0.06,0.08,0.51,0.25,0.33,229.79
0.25,0.09,0.06,0.54,0.36,0.43,210.75
0.30,0.14,0.08,0.56,0.46,0.51,186.51
0.35,0.2,0.09,0.59,0.56,0.57,167.17
0.40,0.2,0.08,0.59,0.62,0.6,152.39
0.45,0.2,0.05,0.59,0.68,0.63,129.63
0.50,0.18,0.03,0.59,0.73,0.65,117.84
0.55,0.18,0.03,0.6,0.79,0.68,100.22
max
0.05,0.0,0.0,1.0,0.0,0.0,257.9
0.10,0.01,0.03,0.46,0.07,0.13,258.24
0.15,0.02,0.02,0.46,0.15,0.22,250.69
0.20,0.06,0.08,0.51,0.25,0.33,229.79
0.25,0.09,0.06,0.54,0.36,0.43,210.75
0.30,0.14,0.08,0.56,0.46,0.51,186.51
0.35,0.2,0.09,0.59,0.56,0.57,167.17
0.40,0.2,0.08,0.59,0.62,0.6,152.39
0.45,0.2,0.05,0.59,0.68,0.63,129.63
0.50,0.18,0.03,0.59,0.73,0.65,117.84
0.55,0.18,0.03,0.6,0.79,0.68,100.22
min
0.05,0.0,0.0,1.0,0.0,0.0,257.9
0.10,0.01,0.03,0.46,0.07,0.13,258.24
0.15,0.02,0.02,0.46,0.15,0.22,250.69
0.20,0.06,0.08,0.51,0.25,0.33,229.79
0.25,0.09,0.06,0.54,0.36,0.43,210.75
0.30,0.14,0.08,0.56,0.46,0.51,186.51
0.35,0.2,0.09,0.59,0.56,0.57,167.17
0.40,0.2,0.08,0.59,0.62,0.6,152.39
0.45,0.2,0.05,0.59,0.68,0.63,129.63
0.50,0.18,0.03,0.59,0.73,0.65,117.84
0.55,0.18,0.03,0.6,0.79,0.68,100.22
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 16805.52 seconds
