,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.32,0.43,0.74,0.56,0.64,332.43
0.65,0.37,0.22,0.68,0.72,0.7,263.32
0.70,0.26,0.08,0.64,0.82,0.72,159.37
0.75,0.16,0.03,0.62,0.92,0.74,130.97
0.80,0.08,0.01,0.6,0.96,0.74,94.21
0.85,0.02,0.0,0.58,0.98,0.73,63.85
0.90,0.0,0.0,0.58,0.99,0.73,53.14
max
0.60,0.32,0.43,0.74,0.56,0.64,332.43
0.65,0.37,0.22,0.68,0.72,0.7,263.32
0.70,0.26,0.08,0.64,0.82,0.72,159.37
0.75,0.16,0.03,0.62,0.92,0.74,130.97
0.80,0.08,0.01,0.6,0.96,0.74,94.21
0.85,0.02,0.0,0.58,0.98,0.73,63.85
0.90,-0.0,0.0,0.58,0.99,0.73,53.14
min
0.60,0.32,0.43,0.74,0.56,0.64,332.43
0.65,0.37,0.22,0.68,0.72,0.7,263.32
0.70,0.26,0.08,0.64,0.82,0.72,159.37
0.75,0.16,0.03,0.62,0.92,0.74,130.97
0.80,0.08,0.01,0.6,0.96,0.74,94.21
0.85,0.02,0.0,0.58,0.98,0.73,63.85
0.90,-0.0,0.0,0.58,0.99,0.73,53.14
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 14075.00 seconds
