,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.01,0.01,1.0,0.03,0.05,179.25
0.65,0.03,0.02,0.9,0.06,0.12,178.23
0.70,0.11,0.1,0.82,0.26,0.39,166.79
0.75,0.29,0.25,0.78,0.58,0.67,145.99
0.80,0.31,0.33,0.69,0.87,0.77,90.73
0.85,0.09,0.05,0.61,0.97,0.75,44.48
0.90,0.01,0.0,0.58,0.99,0.73,32.63
max
0.60,0.01,0.01,1.0,0.03,0.05,179.25
0.65,0.03,0.02,0.9,0.06,0.12,178.23
0.70,0.11,0.1,0.82,0.26,0.39,166.79
0.75,0.29,0.25,0.78,0.58,0.67,145.99
0.80,0.31,0.33,0.69,0.87,0.77,90.73
0.85,0.09,0.05,0.61,0.97,0.75,44.48
0.90,0.01,0.0,0.58,0.99,0.73,32.63
min
0.60,0.01,0.01,1.0,0.03,0.05,179.25
0.65,0.03,0.02,0.9,0.06,0.12,178.23
0.70,0.11,0.1,0.82,0.26,0.39,166.79
0.75,0.29,0.25,0.78,0.58,0.67,145.99
0.80,0.31,0.33,0.69,0.87,0.77,90.73
0.85,0.09,0.05,0.61,0.97,0.75,44.48
0.90,0.01,0.0,0.58,0.99,0.73,32.63
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 12425.27 seconds
