,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.24,0.06,0.62,0.76,0.68,193.78
0.65,0.22,0.04,0.62,0.83,0.71,161.78
0.70,0.18,0.03,0.62,0.88,0.73,134.53
0.75,0.15,0.02,0.62,0.93,0.74,103.95
0.80,0.1,0.01,0.6,0.96,0.74,74.84
0.85,0.05,0.0,0.59,0.98,0.74,58.51
0.90,0.01,0.0,0.58,0.99,0.73,45.23
max
0.60,0.24,0.06,0.62,0.76,0.68,193.78
0.65,0.22,0.04,0.62,0.83,0.71,161.78
0.70,0.18,0.03,0.62,0.88,0.73,134.53
0.75,0.15,0.02,0.62,0.93,0.74,103.95
0.80,0.1,0.01,0.6,0.96,0.74,74.84
0.85,0.05,0.0,0.59,0.98,0.74,58.51
0.90,0.01,0.0,0.58,0.99,0.73,45.23
min
0.60,0.24,0.06,0.62,0.76,0.68,193.78
0.65,0.22,0.04,0.62,0.83,0.71,161.78
0.70,0.18,0.03,0.62,0.88,0.73,134.53
0.75,0.15,0.02,0.62,0.93,0.74,103.95
0.80,0.1,0.01,0.6,0.96,0.74,74.84
0.85,0.05,0.0,0.59,0.98,0.74,58.51
0.90,0.01,0.0,0.58,0.99,0.73,45.23
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 7872.88 seconds
