,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.01,0.01,0.92,0.02,0.03,145.52
0.65,0.02,0.02,0.89,0.04,0.08,149.56
0.70,0.05,0.05,0.84,0.14,0.24,174.71
0.75,0.2,0.18,0.84,0.41,0.55,151.75
0.80,0.51,0.46,0.78,0.79,0.78,116.2
0.85,0.21,0.16,0.65,0.95,0.77,61.61
0.90,0.07,0.03,0.6,0.98,0.74,43.92
max
0.60,0.01,0.01,0.92,0.02,0.03,145.52
0.65,0.02,0.02,0.89,0.04,0.08,149.56
0.70,0.05,0.05,0.84,0.14,0.24,174.71
0.75,0.2,0.18,0.84,0.41,0.55,151.75
0.80,0.51,0.46,0.78,0.79,0.78,116.2
0.85,0.21,0.16,0.65,0.95,0.77,61.61
0.90,0.07,0.03,0.6,0.98,0.74,43.92
min
0.60,0.01,0.01,0.92,0.02,0.03,145.52
0.65,0.02,0.02,0.89,0.04,0.08,149.56
0.70,0.05,0.05,0.84,0.14,0.24,174.71
0.75,0.2,0.18,0.84,0.41,0.55,151.75
0.80,0.51,0.46,0.78,0.79,0.78,116.2
0.85,0.21,0.16,0.65,0.95,0.77,61.61
0.90,0.07,0.03,0.6,0.98,0.74,43.92
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 5476.30 seconds
