,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.15,0.25,0.82,0.29,0.42,489.84
0.65,0.3,0.47,0.8,0.51,0.62,315.77
0.70,0.41,0.39,0.73,0.68,0.7,219.83
0.75,0.32,0.12,0.67,0.82,0.74,159.31
0.80,0.22,0.05,0.64,0.92,0.76,109.07
0.85,0.1,0.01,0.6,0.97,0.74,67.9
0.90,0.02,0.0,0.58,0.98,0.73,46.82
max
0.60,0.15,0.25,0.82,0.29,0.42,489.84
0.65,0.3,0.47,0.8,0.51,0.62,315.77
0.70,0.41,0.39,0.73,0.68,0.7,219.83
0.75,0.32,0.12,0.67,0.82,0.74,159.31
0.80,0.22,0.05,0.64,0.92,0.76,109.07
0.85,0.1,0.01,0.6,0.97,0.74,67.9
0.90,0.02,0.0,0.58,0.98,0.73,46.82
min
0.60,0.15,0.25,0.82,0.29,0.42,489.84
0.65,0.3,0.47,0.8,0.51,0.62,315.77
0.70,0.41,0.39,0.73,0.68,0.7,219.83
0.75,0.32,0.12,0.67,0.82,0.74,159.31
0.80,0.22,0.05,0.64,0.92,0.76,109.07
0.85,0.1,0.01,0.6,0.97,0.74,67.9
0.90,0.02,0.0,0.58,0.98,0.73,46.82
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1438.81 seconds
