,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.17,0.25,0.82,0.3,0.44,161.93
0.65,0.3,0.46,0.8,0.51,0.62,114.85
0.70,0.42,0.31,0.71,0.7,0.7,97.57
0.75,0.34,0.22,0.68,0.83,0.75,83.37
0.80,0.21,0.06,0.64,0.92,0.75,68.83
0.85,0.1,0.02,0.61,0.97,0.75,52.84
0.90,0.02,0.0,0.58,0.98,0.73,38.77
max
0.60,0.17,0.25,0.82,0.3,0.44,161.93
0.65,0.3,0.46,0.8,0.51,0.62,114.85
0.70,0.42,0.31,0.71,0.7,0.7,97.57
0.75,0.34,0.22,0.68,0.83,0.75,83.37
0.80,0.21,0.06,0.64,0.92,0.75,68.83
0.85,0.1,0.02,0.61,0.97,0.75,52.84
0.90,0.02,0.0,0.58,0.98,0.73,38.77
min
0.60,0.17,0.25,0.82,0.3,0.44,161.93
0.65,0.3,0.46,0.8,0.51,0.62,114.85
0.70,0.42,0.31,0.71,0.7,0.7,97.57
0.75,0.34,0.22,0.68,0.83,0.75,83.37
0.80,0.21,0.06,0.64,0.92,0.75,68.83
0.85,0.1,0.02,0.61,0.97,0.75,52.84
0.90,0.02,0.0,0.58,0.98,0.73,38.77
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 651.40 seconds
