,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.60,0.31,0.15,0.67,0.81,0.73,96.66
0.65,0.26,0.13,0.66,0.88,0.75,86.74
0.70,0.17,0.04,0.63,0.93,0.75,72.48
0.75,0.12,0.03,0.61,0.96,0.75,61.9
0.80,0.07,0.01,0.59,0.97,0.74,52.05
0.85,0.03,0.0,0.58,0.98,0.73,43.26
0.90,0.0,0.0,0.58,0.99,0.73,37.59
max
0.60,0.31,0.15,0.67,0.81,0.73,96.66
0.65,0.26,0.13,0.66,0.88,0.75,86.74
0.70,0.17,0.04,0.63,0.93,0.75,72.48
0.75,0.12,0.03,0.61,0.96,0.75,61.9
0.80,0.07,0.01,0.59,0.97,0.74,52.05
0.85,0.03,0.0,0.58,0.98,0.73,43.26
0.90,0.0,0.0,0.58,0.99,0.73,37.59
min
0.60,0.31,0.15,0.67,0.81,0.73,96.66
0.65,0.26,0.13,0.66,0.88,0.75,86.74
0.70,0.17,0.04,0.63,0.93,0.75,72.48
0.75,0.12,0.03,0.61,0.96,0.75,61.9
0.80,0.07,0.01,0.59,0.97,0.74,52.05
0.85,0.03,0.0,0.58,0.98,0.73,43.26
0.90,0.0,0.0,0.58,0.99,0.73,37.59
std
0.60,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 10651.86 seconds
