,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.87,0.02,0.04
0.60,0.05,0.01,0.9,0.21,0.35
0.70,0.16,0.08,0.91,0.61,0.73
0.80,0.35,0.24,0.91,0.91,0.91
0.85,0.15,0.15,0.89,0.97,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.87,0.02,0.04
0.60,0.05,0.01,0.9,0.21,0.35
0.70,0.16,0.08,0.91,0.61,0.73
0.80,0.35,0.24,0.91,0.91,0.91
0.85,0.15,0.15,0.89,0.97,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.87,0.02,0.04
0.60,0.05,0.01,0.9,0.21,0.35
0.70,0.16,0.08,0.91,0.61,0.73
0.80,0.35,0.24,0.91,0.91,0.91
0.85,0.15,0.15,0.89,0.97,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 91.86 seconds
