,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.89,0.01,0.01
0.50,0.05,0.01,0.86,0.26,0.4
0.60,0.15,0.06,0.9,0.62,0.74
0.70,0.29,0.24,0.91,0.86,0.88
0.75,0.3,0.24,0.9,0.94,0.92
0.80,0.17,0.16,0.89,0.97,0.93
0.90,0.0,0.05,0.88,1.0,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.89,0.01,0.01
0.50,0.05,0.01,0.86,0.26,0.4
0.60,0.15,0.06,0.9,0.62,0.74
0.70,0.29,0.24,0.91,0.86,0.88
0.75,0.3,0.24,0.9,0.94,0.92
0.80,0.17,0.16,0.89,0.97,0.93
0.90,0.0,0.05,0.88,1.0,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.89,0.01,0.01
0.50,0.05,0.01,0.86,0.26,0.4
0.60,0.15,0.06,0.9,0.62,0.74
0.70,0.29,0.24,0.91,0.86,0.88
0.75,0.3,0.24,0.9,0.94,0.92
0.80,0.17,0.16,0.89,0.97,0.93
0.90,0.0,0.05,0.88,1.0,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3181.14 seconds
