,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.93,0.01,0.01
0.50,0.05,0.01,0.87,0.25,0.39
0.60,0.17,0.08,0.91,0.63,0.74
0.70,0.3,0.24,0.91,0.86,0.88
0.75,0.3,0.24,0.9,0.93,0.92
0.80,0.16,0.16,0.89,0.97,0.93
0.90,0.0,0.05,0.88,1.0,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.93,0.01,0.01
0.50,0.05,0.01,0.87,0.25,0.39
0.60,0.17,0.08,0.91,0.63,0.74
0.70,0.3,0.24,0.91,0.86,0.88
0.75,0.3,0.24,0.9,0.93,0.92
0.80,0.16,0.16,0.89,0.97,0.93
0.90,-0.0,0.05,0.88,1.0,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.93,0.01,0.01
0.50,0.05,0.01,0.87,0.25,0.39
0.60,0.17,0.08,0.91,0.63,0.74
0.70,0.3,0.24,0.91,0.86,0.88
0.75,0.3,0.24,0.9,0.93,0.92
0.80,0.16,0.16,0.89,0.97,0.93
0.90,-0.0,0.05,0.88,1.0,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 197.93 seconds
