,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.91,0.04,0.08
0.60,0.08,0.01,0.9,0.35,0.5
0.70,0.22,0.14,0.91,0.74,0.82
0.75,0.3,0.24,0.91,0.86,0.89
0.80,0.27,0.23,0.9,0.95,0.92
0.85,0.11,0.13,0.89,0.98,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.91,0.04,0.08
0.60,0.08,0.01,0.9,0.35,0.5
0.70,0.22,0.14,0.91,0.74,0.82
0.75,0.3,0.24,0.91,0.86,0.89
0.80,0.27,0.23,0.9,0.95,0.92
0.85,0.11,0.13,0.89,0.98,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.91,0.04,0.08
0.60,0.08,0.01,0.9,0.35,0.5
0.70,0.22,0.14,0.91,0.74,0.82
0.75,0.3,0.24,0.91,0.86,0.89
0.80,0.27,0.23,0.9,0.95,0.92
0.85,0.11,0.13,0.89,0.98,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 17977.59 seconds
