,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.09,0.01,0.89,0.4,0.55
0.65,0.14,0.04,0.9,0.58,0.71
0.70,0.2,0.12,0.91,0.74,0.81
0.75,0.3,0.23,0.91,0.86,0.89
0.80,0.25,0.21,0.9,0.95,0.92
0.85,0.11,0.14,0.89,0.98,0.93
0.90,0.0,0.04,0.88,0.99,0.93
max
0.60,0.09,0.01,0.89,0.4,0.55
0.65,0.14,0.04,0.9,0.58,0.71
0.70,0.2,0.12,0.91,0.74,0.81
0.75,0.3,0.23,0.91,0.86,0.89
0.80,0.25,0.21,0.9,0.95,0.92
0.85,0.11,0.14,0.89,0.98,0.93
0.90,0.0,0.04,0.88,0.99,0.93
min
0.60,0.09,0.01,0.89,0.4,0.55
0.65,0.14,0.04,0.9,0.58,0.71
0.70,0.2,0.12,0.91,0.74,0.81
0.75,0.3,0.23,0.91,0.86,0.89
0.80,0.25,0.21,0.9,0.95,0.92
0.85,0.11,0.14,0.89,0.98,0.93
0.90,0.0,0.04,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3501.03 seconds
