,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.84,0.0,0.0
0.70,0.0,0.0,0.93,0.04,0.07
0.75,0.03,0.0,0.91,0.25,0.39
0.80,0.27,0.09,0.91,0.86,0.88
0.85,0.13,0.15,0.89,0.98,0.93
0.90,0.01,0.06,0.88,0.99,0.93
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.84,0.0,0.0
0.70,0.0,0.0,0.93,0.04,0.07
0.75,0.03,0.0,0.91,0.25,0.39
0.80,0.27,0.09,0.91,0.86,0.88
0.85,0.13,0.15,0.89,0.98,0.93
0.90,0.01,0.06,0.88,0.99,0.93
min
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.84,0.0,0.0
0.70,0.0,0.0,0.93,0.04,0.07
0.75,0.03,0.0,0.91,0.25,0.39
0.80,0.27,0.09,0.91,0.86,0.88
0.85,0.13,0.15,0.89,0.98,0.93
0.90,0.01,0.06,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 10992.40 seconds
