,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.89,0.0,0.01
0.70,0.01,0.0,0.97,0.04,0.07
0.75,0.04,0.0,0.92,0.3,0.45
0.80,0.28,0.1,0.91,0.86,0.89
0.85,0.14,0.16,0.89,0.97,0.93
0.90,0.01,0.06,0.88,0.99,0.93
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.89,0.0,0.01
0.70,0.01,0.0,0.97,0.04,0.07
0.75,0.04,0.0,0.92,0.3,0.45
0.80,0.28,0.1,0.91,0.86,0.89
0.85,0.14,0.16,0.89,0.97,0.93
0.90,0.01,0.06,0.88,0.99,0.93
min
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.89,0.0,0.01
0.70,0.01,0.0,0.97,0.04,0.07
0.75,0.04,0.0,0.92,0.3,0.45
0.80,0.28,0.1,0.91,0.86,0.89
0.85,0.14,0.16,0.89,0.97,0.93
0.90,0.01,0.06,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 2152.62 seconds
