,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.01,0.0,0.79,0.09,0.16
0.40,0.05,0.01,0.82,0.23,0.36
0.50,0.1,0.03,0.87,0.45,0.59
0.60,0.15,0.11,0.9,0.63,0.74
0.70,0.21,0.18,0.9,0.76,0.83
0.75,0.26,0.2,0.9,0.84,0.87
0.80,0.28,0.19,0.9,0.91,0.91
0.85,0.13,0.14,0.89,0.98,0.93
max
0.30,0.01,0.0,0.79,0.09,0.16
0.40,0.05,0.01,0.82,0.23,0.36
0.50,0.1,0.03,0.87,0.45,0.59
0.60,0.15,0.11,0.9,0.63,0.74
0.70,0.21,0.18,0.9,0.76,0.83
0.75,0.26,0.2,0.9,0.84,0.87
0.80,0.28,0.19,0.9,0.91,0.91
0.85,0.13,0.14,0.89,0.98,0.93
min
0.30,0.01,0.0,0.79,0.09,0.16
0.40,0.05,0.01,0.82,0.23,0.36
0.50,0.1,0.03,0.87,0.45,0.59
0.60,0.15,0.11,0.9,0.63,0.74
0.70,0.21,0.18,0.9,0.76,0.83
0.75,0.26,0.2,0.9,0.84,0.87
0.80,0.28,0.19,0.9,0.91,0.91
0.85,0.13,0.14,0.89,0.98,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 17198.38 seconds
