,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.89,0.06,0.11
0.75,0.01,0.0,0.9,0.14,0.24
0.80,0.05,0.0,0.9,0.4,0.55
0.85,0.21,0.05,0.9,0.86,0.88
0.90,0.03,0.07,0.88,0.99,0.93
0.95,-0.03,0.03,0.88,1.0,0.93
max
0.70,0.01,0.0,0.89,0.06,0.11
0.75,0.01,0.0,0.9,0.14,0.24
0.80,0.05,0.0,0.9,0.4,0.55
0.85,0.21,0.05,0.9,0.86,0.88
0.90,0.03,0.07,0.88,0.99,0.93
0.95,-0.03,0.03,0.88,1.0,0.93
min
0.70,0.01,0.0,0.89,0.06,0.11
0.75,0.01,0.0,0.9,0.14,0.24
0.80,0.05,0.0,0.9,0.4,0.55
0.85,0.21,0.05,0.9,0.86,0.88
0.90,0.03,0.07,0.88,0.99,0.93
0.95,-0.03,0.03,0.88,1.0,0.93
std
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
test finished in 966.47 seconds
