,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.16,0.11,0.9,0.63,0.74
0.65,0.19,0.15,0.9,0.7,0.79
0.70,0.22,0.19,0.91,0.77,0.83
0.75,0.27,0.22,0.91,0.84,0.87
0.80,0.32,0.22,0.9,0.92,0.91
0.85,0.16,0.17,0.89,0.98,0.93
0.90,0.01,0.05,0.88,0.99,0.93
max
0.60,0.16,0.11,0.9,0.63,0.74
0.65,0.19,0.15,0.9,0.7,0.79
0.70,0.22,0.19,0.91,0.77,0.83
0.75,0.27,0.22,0.91,0.84,0.87
0.80,0.32,0.22,0.9,0.92,0.91
0.85,0.16,0.17,0.89,0.98,0.93
0.90,0.01,0.05,0.88,0.99,0.93
min
0.60,0.16,0.11,0.9,0.63,0.74
0.65,0.19,0.15,0.9,0.7,0.79
0.70,0.22,0.19,0.91,0.77,0.83
0.75,0.27,0.22,0.91,0.84,0.87
0.80,0.32,0.22,0.9,0.92,0.91
0.85,0.16,0.17,0.89,0.98,0.93
0.90,0.01,0.05,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 3114.57 seconds
