,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.13,0.07,0.89,0.57,0.7
0.65,0.16,0.12,0.9,0.66,0.76
0.70,0.19,0.16,0.9,0.73,0.81
0.75,0.23,0.19,0.9,0.8,0.85
0.80,0.31,0.22,0.9,0.89,0.9
0.85,0.18,0.17,0.89,0.97,0.93
0.90,0.03,0.06,0.88,0.99,0.93
max
0.60,0.13,0.07,0.89,0.57,0.7
0.65,0.16,0.12,0.9,0.66,0.76
0.70,0.19,0.16,0.9,0.73,0.81
0.75,0.23,0.19,0.9,0.8,0.85
0.80,0.31,0.22,0.9,0.89,0.9
0.85,0.18,0.17,0.89,0.97,0.93
0.90,0.03,0.06,0.88,0.99,0.93
min
0.60,0.13,0.07,0.89,0.57,0.7
0.65,0.16,0.12,0.9,0.66,0.76
0.70,0.19,0.16,0.9,0.73,0.81
0.75,0.23,0.19,0.9,0.8,0.85
0.80,0.31,0.22,0.9,0.89,0.9
0.85,0.18,0.17,0.89,0.97,0.93
0.90,0.03,0.06,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 14285.11 seconds
