,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.91,0.02,0.05
0.60,0.02,0.0,0.89,0.2,0.33
0.70,0.14,0.02,0.9,0.71,0.79
0.80,0.15,0.17,0.89,0.97,0.93
0.90,0.01,0.06,0.88,0.99,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.91,0.02,0.05
0.60,0.02,0.0,0.89,0.2,0.33
0.70,0.14,0.02,0.9,0.71,0.79
0.80,0.15,0.17,0.89,0.97,0.93
0.90,0.01,0.06,0.88,0.99,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.91,0.02,0.05
0.60,0.02,0.0,0.89,0.2,0.33
0.70,0.14,0.02,0.9,0.71,0.79
0.80,0.15,0.17,0.89,0.97,0.93
0.90,0.01,0.06,0.88,0.99,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 879.55 seconds
