,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.11,0.06,0.87,0.54,0.67
0.40,0.15,0.12,0.89,0.67,0.76
0.50,0.19,0.17,0.9,0.76,0.82
0.60,0.27,0.21,0.9,0.86,0.88
0.65,0.31,0.22,0.9,0.9,0.9
0.70,0.25,0.21,0.9,0.94,0.92
0.75,0.17,0.17,0.89,0.97,0.93
0.85,0.04,0.08,0.88,0.99,0.93
max
0.30,0.11,0.06,0.87,0.54,0.67
0.40,0.15,0.12,0.89,0.67,0.76
0.50,0.19,0.17,0.9,0.76,0.82
0.60,0.27,0.21,0.9,0.86,0.88
0.65,0.31,0.22,0.9,0.9,0.9
0.70,0.25,0.21,0.9,0.94,0.92
0.75,0.17,0.17,0.89,0.97,0.93
0.85,0.04,0.08,0.88,0.99,0.93
min
0.30,0.11,0.06,0.87,0.54,0.67
0.40,0.15,0.12,0.89,0.67,0.76
0.50,0.19,0.17,0.9,0.76,0.82
0.60,0.27,0.21,0.9,0.86,0.88
0.65,0.31,0.22,0.9,0.9,0.9
0.70,0.25,0.21,0.9,0.94,0.92
0.75,0.17,0.17,0.89,0.97,0.93
0.85,0.04,0.08,0.88,0.99,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 1917.44 seconds
