,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.95,0.03,0.06
0.70,0.04,0.0,0.9,0.35,0.5
0.80,0.27,0.17,0.9,0.93,0.92
0.85,0.12,0.19,0.89,0.99,0.94
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.95,0.03,0.06
0.70,0.04,0.0,0.9,0.35,0.5
0.80,0.27,0.17,0.9,0.93,0.92
0.85,0.12,0.19,0.89,0.99,0.94
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.95,0.03,0.06
0.70,0.04,0.0,0.9,0.35,0.5
0.80,0.27,0.17,0.9,0.93,0.92
0.85,0.12,0.19,0.89,0.99,0.94
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 1156.41 seconds
