,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.93,0.01,0.02
0.70,0.04,0.0,0.92,0.29,0.44
0.80,0.25,0.24,0.9,0.97,0.93
0.85,0.12,0.18,0.89,0.99,0.94
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.93,0.01,0.02
0.70,0.04,0.0,0.92,0.29,0.44
0.80,0.25,0.24,0.9,0.97,0.93
0.85,0.12,0.18,0.89,0.99,0.94
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.93,0.01,0.02
0.70,0.04,0.0,0.92,0.29,0.44
0.80,0.25,0.24,0.9,0.97,0.93
0.85,0.12,0.18,0.89,0.99,0.94
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 13159.26 seconds
