,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.07,0.02,0.84,0.36,0.5
0.40,0.12,0.06,0.88,0.55,0.67
0.50,0.16,0.12,0.89,0.69,0.78
0.60,0.22,0.19,0.9,0.79,0.84
0.65,0.26,0.22,0.91,0.84,0.87
0.70,0.34,0.26,0.91,0.9,0.9
0.75,0.26,0.22,0.9,0.96,0.93
0.80,0.15,0.16,0.89,0.98,0.94
0.90,0.0,0.05,0.88,1.0,0.93
max
0.30,0.07,0.02,0.84,0.36,0.5
0.40,0.12,0.06,0.88,0.55,0.67
0.50,0.16,0.12,0.89,0.69,0.78
0.60,0.22,0.19,0.9,0.79,0.84
0.65,0.26,0.22,0.91,0.84,0.87
0.70,0.34,0.26,0.91,0.9,0.9
0.75,0.26,0.22,0.9,0.96,0.93
0.80,0.15,0.16,0.89,0.98,0.94
0.90,0.0,0.05,0.88,1.0,0.93
min
0.30,0.07,0.02,0.84,0.36,0.5
0.40,0.12,0.06,0.88,0.55,0.67
0.50,0.16,0.12,0.89,0.69,0.78
0.60,0.22,0.19,0.9,0.79,0.84
0.65,0.26,0.22,0.91,0.84,0.87
0.70,0.34,0.26,0.91,0.9,0.9
0.75,0.26,0.22,0.9,0.96,0.93
0.80,0.15,0.16,0.89,0.98,0.94
0.90,0.0,0.05,0.88,1.0,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 2587.32 seconds
