,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.07,0.01,0.88,0.3,0.45
0.55,0.13,0.04,0.91,0.51,0.66
0.60,0.2,0.15,0.91,0.71,0.8
0.65,0.25,0.2,0.91,0.8,0.85
0.70,0.33,0.28,0.91,0.88,0.9
0.75,0.31,0.29,0.91,0.95,0.93
0.80,0.2,0.23,0.9,0.98,0.94
0.85,0.09,0.14,0.89,0.99,0.94
0.90,0.0,0.06,0.88,0.99,0.93
max
0.50,0.07,0.01,0.88,0.3,0.45
0.55,0.13,0.04,0.91,0.51,0.66
0.60,0.2,0.15,0.91,0.71,0.8
0.65,0.25,0.2,0.91,0.8,0.85
0.70,0.33,0.28,0.91,0.88,0.9
0.75,0.31,0.29,0.91,0.95,0.93
0.80,0.2,0.23,0.9,0.98,0.94
0.85,0.09,0.14,0.89,0.99,0.94
0.90,0.0,0.06,0.88,0.99,0.93
min
0.50,0.07,0.01,0.88,0.3,0.45
0.55,0.13,0.04,0.91,0.51,0.66
0.60,0.2,0.15,0.91,0.71,0.8
0.65,0.25,0.2,0.91,0.8,0.85
0.70,0.33,0.28,0.91,0.88,0.9
0.75,0.31,0.29,0.91,0.95,0.93
0.80,0.2,0.23,0.9,0.98,0.94
0.85,0.09,0.14,0.89,0.99,0.94
0.90,0.0,0.06,0.88,0.99,0.93
std
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 23331.55 seconds
