,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.0,0.0,1.0,0.0,0.0
0.55,0.0,0.0,0.91,0.0,0.0
0.60,0.0,0.0,0.95,0.01,0.02
0.65,0.01,0.0,0.91,0.07,0.13
0.70,0.03,0.0,0.92,0.29,0.44
0.75,0.17,0.02,0.91,0.74,0.82
0.80,0.25,0.23,0.9,0.96,0.93
0.85,0.11,0.17,0.89,0.99,0.94
0.90,0.02,0.08,0.88,0.99,0.93
max
0.50,0.0,0.0,1.0,0.0,0.0
0.55,0.0,0.0,0.91,0.0,0.0
0.60,0.0,0.0,0.95,0.01,0.02
0.65,0.01,0.0,0.91,0.07,0.13
0.70,0.03,0.0,0.92,0.29,0.44
0.75,0.17,0.02,0.91,0.74,0.82
0.80,0.25,0.23,0.9,0.96,0.93
0.85,0.11,0.17,0.89,0.99,0.94
0.90,0.02,0.08,0.88,0.99,0.93
min
0.50,0.0,0.0,1.0,0.0,0.0
0.55,0.0,0.0,0.91,0.0,0.0
0.60,0.0,0.0,0.95,0.01,0.02
0.65,0.01,0.0,0.91,0.07,0.13
0.70,0.03,0.0,0.92,0.29,0.44
0.75,0.17,0.02,0.91,0.74,0.82
0.80,0.25,0.23,0.9,0.96,0.93
0.85,0.11,0.17,0.89,0.99,0.94
0.90,0.02,0.08,0.88,0.99,0.93
std
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 4484.41 seconds
