,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.87,0.07,0.12
0.60,0.13,0.04,0.91,0.5,0.64
0.70,0.28,0.25,0.92,0.8,0.86
0.75,0.39,0.31,0.92,0.9,0.91
0.80,0.28,0.28,0.9,0.97,0.94
0.85,0.11,0.15,0.89,0.99,0.94
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.87,0.07,0.12
0.60,0.13,0.04,0.91,0.5,0.64
0.70,0.28,0.25,0.92,0.8,0.86
0.75,0.39,0.31,0.92,0.9,0.91
0.80,0.28,0.28,0.9,0.97,0.94
0.85,0.11,0.15,0.89,0.99,0.94
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.87,0.07,0.12
0.60,0.13,0.04,0.91,0.5,0.64
0.70,0.28,0.25,0.92,0.8,0.86
0.75,0.39,0.31,0.92,0.9,0.91
0.80,0.28,0.28,0.9,0.97,0.94
0.85,0.11,0.15,0.89,0.99,0.94
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 183.21 seconds
