,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.96,0.01,0.01
0.70,0.01,0.0,0.92,0.06,0.11
0.75,0.05,0.0,0.93,0.35,0.51
0.80,0.3,0.11,0.91,0.89,0.9
0.85,0.16,0.21,0.89,0.99,0.94
0.90,0.03,0.09,0.88,0.99,0.93
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.96,0.01,0.01
0.70,0.01,0.0,0.92,0.06,0.11
0.75,0.05,0.0,0.93,0.35,0.51
0.80,0.3,0.11,0.91,0.89,0.9
0.85,0.16,0.21,0.89,0.99,0.94
0.90,0.03,0.09,0.88,0.99,0.93
min
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.96,0.01,0.01
0.70,0.01,0.0,0.92,0.06,0.11
0.75,0.05,0.0,0.93,0.35,0.51
0.80,0.3,0.11,0.91,0.89,0.9
0.85,0.16,0.21,0.89,0.99,0.94
0.90,0.03,0.09,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 7012.92 seconds
