,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,0.0,0.0,0.86,0.02,0.04
0.75,0.03,0.0,0.92,0.27,0.41
0.80,0.19,0.04,0.89,0.85,0.87
0.85,0.07,0.11,0.88,0.99,0.93
0.90,-0.03,0.02,0.87,0.99,0.93
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,0.0,0.0,0.86,0.02,0.04
0.75,0.03,0.0,0.92,0.27,0.41
0.80,0.19,0.04,0.89,0.85,0.87
0.85,0.07,0.11,0.88,0.99,0.93
0.90,-0.03,0.02,0.87,0.99,0.93
min
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,0.0,0.0,0.86,0.02,0.04
0.75,0.03,0.0,0.92,0.27,0.41
0.80,0.19,0.04,0.89,0.85,0.87
0.85,0.07,0.11,0.88,0.99,0.93
0.90,-0.03,0.02,0.87,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1682.28 seconds
