,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.92,0.05,0.1
0.60,0.14,0.04,0.91,0.5,0.65
0.70,0.26,0.23,0.92,0.8,0.85
0.75,0.37,0.29,0.91,0.9,0.91
0.80,0.27,0.27,0.9,0.97,0.94
0.85,0.12,0.16,0.89,0.99,0.94
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.92,0.05,0.1
0.60,0.14,0.04,0.91,0.5,0.65
0.70,0.26,0.23,0.92,0.8,0.85
0.75,0.37,0.29,0.91,0.9,0.91
0.80,0.27,0.27,0.9,0.97,0.94
0.85,0.12,0.16,0.89,0.99,0.94
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.01,0.0,0.92,0.05,0.1
0.60,0.14,0.04,0.91,0.5,0.65
0.70,0.26,0.23,0.92,0.8,0.85
0.75,0.37,0.29,0.91,0.9,0.91
0.80,0.27,0.27,0.9,0.97,0.94
0.85,0.12,0.16,0.89,0.99,0.94
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 3220.25 seconds
