,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.06,0.01,0.84,0.25,0.38
0.40,0.11,0.03,0.88,0.45,0.59
0.50,0.15,0.09,0.89,0.6,0.72
0.60,0.19,0.16,0.9,0.72,0.8
0.70,0.28,0.24,0.91,0.84,0.88
0.75,0.36,0.27,0.91,0.91,0.91
0.80,0.25,0.25,0.9,0.97,0.93
0.85,0.1,0.13,0.89,0.99,0.94
max
0.30,0.06,0.01,0.84,0.25,0.38
0.40,0.11,0.03,0.88,0.45,0.59
0.50,0.15,0.09,0.89,0.6,0.72
0.60,0.19,0.16,0.9,0.72,0.8
0.70,0.28,0.24,0.91,0.84,0.88
0.75,0.36,0.27,0.91,0.91,0.91
0.80,0.25,0.25,0.9,0.97,0.93
0.85,0.1,0.13,0.89,0.99,0.94
min
0.30,0.06,0.01,0.84,0.25,0.38
0.40,0.11,0.03,0.88,0.45,0.59
0.50,0.15,0.09,0.89,0.6,0.72
0.60,0.19,0.16,0.9,0.72,0.8
0.70,0.28,0.24,0.91,0.84,0.88
0.75,0.36,0.27,0.91,0.91,0.91
0.80,0.25,0.25,0.9,0.97,0.93
0.85,0.1,0.13,0.89,0.99,0.94
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 15353.68 seconds
