,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.89,0.12,0.22
0.75,0.04,0.0,0.9,0.35,0.5
0.80,0.15,0.02,0.9,0.74,0.81
0.85,0.18,0.21,0.89,0.98,0.93
0.90,0.03,0.09,0.88,0.99,0.93
max
0.70,0.01,0.0,0.89,0.12,0.22
0.75,0.04,0.0,0.9,0.35,0.5
0.80,0.15,0.02,0.9,0.74,0.81
0.85,0.18,0.21,0.89,0.98,0.93
0.90,0.03,0.09,0.88,0.99,0.93
min
0.70,0.01,0.0,0.89,0.12,0.22
0.75,0.04,0.0,0.9,0.35,0.5
0.80,0.15,0.02,0.9,0.74,0.81
0.85,0.18,0.21,0.89,0.98,0.93
0.90,0.03,0.09,0.88,0.99,0.93
std
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1018.36 seconds
