,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.93,0.06,0.12
0.75,0.05,0.0,0.92,0.37,0.53
0.80,0.36,0.17,0.91,0.91,0.91
0.85,0.15,0.2,0.89,0.99,0.94
0.90,0.03,0.09,0.88,0.99,0.93
max
0.70,0.01,0.0,0.93,0.06,0.12
0.75,0.05,0.0,0.92,0.37,0.53
0.80,0.36,0.17,0.91,0.91,0.91
0.85,0.15,0.2,0.89,0.99,0.94
0.90,0.03,0.09,0.88,0.99,0.93
min
0.70,0.01,0.0,0.93,0.06,0.12
0.75,0.05,0.0,0.92,0.37,0.53
0.80,0.36,0.17,0.91,0.91,0.91
0.85,0.15,0.2,0.89,0.99,0.94
0.90,0.03,0.09,0.88,0.99,0.93
std
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1982.36 seconds
