,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.85,0.01,0.03
0.60,0.08,0.01,0.91,0.3,0.45
0.70,0.21,0.14,0.92,0.71,0.8
0.75,0.3,0.26,0.92,0.85,0.88
0.80,0.33,0.28,0.91,0.94,0.92
0.85,0.17,0.19,0.89,0.99,0.94
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.85,0.01,0.03
0.60,0.08,0.01,0.91,0.3,0.45
0.70,0.21,0.14,0.92,0.71,0.8
0.75,0.3,0.26,0.92,0.85,0.88
0.80,0.33,0.28,0.91,0.94,0.92
0.85,0.17,0.19,0.89,0.99,0.94
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.85,0.01,0.03
0.60,0.08,0.01,0.91,0.3,0.45
0.70,0.21,0.14,0.92,0.71,0.8
0.75,0.3,0.26,0.92,0.85,0.88
0.80,0.33,0.28,0.91,0.94,0.92
0.85,0.17,0.19,0.89,0.99,0.94
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 19272.40 seconds
