,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,0.61,0.0,0.0
0.65,0.0,0.0,0.66,0.0,0.0
0.70,0.0,0.0,0.79,0.02,0.03
0.75,0.0,0.0,0.86,0.1,0.17
0.80,0.03,0.0,0.88,0.34,0.5
0.85,0.12,0.02,0.89,0.78,0.83
0.90,-0.01,0.03,0.88,0.99,0.93
max
0.60,-0.0,-0.0,0.61,0.0,0.0
0.65,-0.0,-0.0,0.66,0.0,0.0
0.70,-0.0,-0.0,0.79,0.02,0.03
0.75,0.0,0.0,0.86,0.1,0.17
0.80,0.03,0.0,0.88,0.34,0.5
0.85,0.12,0.02,0.89,0.78,0.83
0.90,-0.01,0.03,0.88,0.99,0.93
min
0.60,-0.0,-0.0,0.61,0.0,0.0
0.65,-0.0,-0.0,0.66,0.0,0.0
0.70,-0.0,-0.0,0.79,0.02,0.03
0.75,0.0,0.0,0.86,0.1,0.17
0.80,0.03,0.0,0.88,0.34,0.5
0.85,0.12,0.02,0.89,0.78,0.83
0.90,-0.01,0.03,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 9154.30 seconds
