,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,0.0,0.0,0.82,0.0,0.0
0.75,0.0,0.0,0.89,0.05,0.1
0.80,0.06,0.01,0.9,0.47,0.62
0.85,0.16,0.19,0.89,0.98,0.93
0.90,-0.01,0.03,0.88,0.99,0.93
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,-0.0,0.0,0.82,0.0,0.0
0.75,0.0,0.0,0.89,0.05,0.1
0.80,0.06,0.01,0.9,0.47,0.62
0.85,0.16,0.19,0.89,0.98,0.93
0.90,-0.01,0.03,0.88,0.99,0.93
min
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,-0.0,0.0,0.82,0.0,0.0
0.75,0.0,0.0,0.89,0.05,0.1
0.80,0.06,0.01,0.9,0.47,0.62
0.85,0.16,0.19,0.89,0.98,0.93
0.90,-0.01,0.03,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 8196.50 seconds
