,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.08,0.02,0.86,0.39,0.53
0.60,0.13,0.08,0.88,0.58,0.7
0.65,0.16,0.12,0.89,0.67,0.76
0.70,0.19,0.15,0.9,0.75,0.82
0.75,0.22,0.18,0.9,0.83,0.86
0.80,0.26,0.2,0.9,0.93,0.91
0.85,0.09,0.1,0.88,0.99,0.93
max
0.50,0.08,0.02,0.86,0.39,0.53
0.60,0.13,0.08,0.88,0.58,0.7
0.65,0.16,0.12,0.89,0.67,0.76
0.70,0.19,0.15,0.9,0.75,0.82
0.75,0.22,0.18,0.9,0.83,0.86
0.80,0.26,0.2,0.9,0.93,0.91
0.85,0.09,0.1,0.88,0.99,0.93
min
0.50,0.08,0.02,0.86,0.39,0.53
0.60,0.13,0.08,0.88,0.58,0.7
0.65,0.16,0.12,0.89,0.67,0.76
0.70,0.19,0.15,0.9,0.75,0.82
0.75,0.22,0.18,0.9,0.83,0.86
0.80,0.26,0.2,0.9,0.93,0.91
0.85,0.09,0.1,0.88,0.99,0.93
std
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
test finished in 10730.23 seconds
